id,gid,x,y,v_x,v_y,radius,time
0,0,-8.993500,-1.007500,0.130000,-0.150000,0.750000,0.050000
1,0,-8.993500,1.007500,0.130000,0.150000,0.750000,0.050000
2,1,-0.006500,0.000000,-0.130000,0.000000,0.750000,0.050000
0,0,-8.981150,-1.014247,0.247000,-0.134946,0.750000,0.100000
1,0,-8.981150,1.014247,0.247000,0.134946,0.750000,0.100000
2,1,-0.018850,0.000000,-0.247000,0.000000,0.750000,0.100000
0,0,-8.963535,-1.020315,0.352300,-0.121348,0.750000,0.150000
1,0,-8.963535,1.020315,0.352300,0.121348,0.750000,0.150000
2,1,-0.036465,0.000000,-0.352300,0.000000,0.750000,0.150000
0,0,-8.941381,-1.025934,0.443076,-0.112393,0.750000,0.200000
1,0,-8.941381,1.025934,0.443076,0.112393,0.750000,0.200000
2,1,-0.058419,0.000000,-0.439083,0.000000,0.750000,0.200000
0,0,-8.915621,-1.031523,0.515199,-0.111781,0.750000,0.250000
1,0,-8.915621,1.031523,0.515199,0.111781,0.750000,0.250000
2,1,-0.083321,0.000000,-0.498036,0.000000,0.750000,0.250000
0,0,-8.886959,-1.037366,0.573238,-0.116853,0.750000,0.300000
1,0,-8.886959,1.037366,0.573238,0.116853,0.750000,0.300000
2,1,-0.110188,0.000000,-0.537349,0.000000,0.750000,0.300000
0,0,-8.855919,-1.043667,0.620798,-0.126023,0.750000,0.350000
1,0,-8.855919,1.043667,0.620798,0.126023,0.750000,0.350000
2,1,-0.138358,0.000000,-0.563383,0.000000,0.750000,0.350000
0,0,-8.822887,-1.050580,0.660644,-0.138263,0.750000,0.400000
1,0,-8.822887,1.050580,0.660644,0.138263,0.750000,0.400000
2,1,-0.167402,0.000000,-0.580898,0.000000,0.750000,0.400000
0,0,-8.788142,-1.058225,0.694896,-0.152885,0.750000,0.450000
1,0,-8.788142,1.058225,0.694896,0.152885,0.750000,0.450000
2,1,-0.197075,0.000000,-0.593441,0.000000,0.750000,0.450000
0,0,-8.751882,-1.066695,0.725209,-0.169417,0.750000,0.500000
1,0,-8.751882,1.066695,0.725209,0.169417,0.750000,0.500000
2,1,-0.227260,0.000000,-0.603703,0.000000,0.750000,0.500000
0,0,-8.714236,-1.076072,0.752924,-0.187533,0.750000,0.550000
1,0,-8.714236,1.076072,0.752924,0.187533,0.750000,0.550000
2,1,-0.257950,0.000000,-0.613807,0.000000,0.750000,0.550000
0,0,-8.675276,-1.086422,0.779199,-0.207007,0.750000,0.600000
1,0,-8.675276,1.086422,0.779199,0.207007,0.750000,0.600000
2,1,-0.289228,0.000000,-0.625564,0.000000,0.750000,0.600000
0,0,-8.635019,-1.097805,0.805144,-0.227659,0.750000,0.650000
1,0,-8.635019,1.097805,0.805144,0.227659,0.750000,0.650000
2,1,-0.321265,0.000000,-0.640740,0.000000,0.750000,0.650000
0,0,-8.593418,-1.110270,0.832012,-0.249292,0.750000,0.700000
1,0,-8.593418,1.110270,0.832012,0.249292,0.750000,0.700000
2,1,-0.354337,0.000000,-0.661435,0.000000,0.750000,0.700000
0,0,-8.550335,-1.123844,0.861666,-0.271480,0.750000,0.750000
1,0,-8.550335,1.123844,0.861666,0.271480,0.750000,0.750000
2,1,-0.388887,0.000000,-0.691008,0.000000,0.750000,0.750000
0,0,-8.505289,-1.138404,0.900915,-0.291206,0.750000,0.800000
1,0,-8.505289,1.138404,0.900915,0.291206,0.750000,0.800000
2,1,-0.426025,0.000000,-0.742744,0.000000,0.750000,0.800000
0,0,-8.458248,-1.151457,0.940819,-0.261058,0.750000,0.850000
1,0,-8.458248,1.151457,0.940819,0.261058,0.750000,0.850000
2,1,-0.465948,0.000000,-0.798469,0.000000,0.750000,0.850000
0,0,-8.410353,-1.166435,0.957906,-0.299554,0.750000,0.900000
1,0,-8.410353,1.166435,0.957906,0.299554,0.750000,0.900000
2,1,-0.506497,0.000000,-0.810970,0.000000,0.750000,0.900000
0,0,-8.360747,-1.179853,0.992110,-0.268356,0.750000,0.950000
1,0,-8.360747,1.179853,0.992110,0.268356,0.750000,0.950000
2,1,-0.549490,0.000000,-0.859873,0.000000,0.750000,0.950000
0,0,-8.310388,-1.195589,1.007179,-0.314719,0.750000,1.000000
1,0,-8.310388,1.195589,1.007179,0.314719,0.750000,1.000000
2,1,-0.593113,0.000000,-0.872461,0.000000,0.750000,1.000000
0,0,-8.258566,-1.209678,1.036453,-0.281779,0.750000,1.050000
1,0,-8.258566,1.209678,1.036453,0.281779,0.750000,1.050000
2,1,-0.638874,0.000000,-0.915214,0.000000,0.750000,1.050000
0,0,-8.205426,-1.222279,1.062798,-0.252022,0.750000,1.100000
1,0,-8.205426,1.222279,1.062798,0.252022,0.750000,1.100000
2,1,-0.686559,0.000000,-0.953693,0.000000,0.750000,1.100000
0,0,-8.152555,-1.238157,1.057413,-0.317557,0.750000,1.150000
1,0,-8.152555,1.238157,1.057413,0.317557,0.750000,1.150000
2,1,-0.733065,0.000000,-0.930136,0.000000,0.750000,1.150000
0,0,-8.098472,-1.252356,1.081660,-0.283997,0.750000,1.200000
1,0,-8.098472,1.252356,1.081660,0.283997,0.750000,1.200000
2,1,-0.781421,0.000000,-0.967122,0.000000,0.750000,1.200000
0,0,-8.043298,-1.265040,1.103479,-0.253679,0.750000,1.250000
1,0,-8.043298,1.265040,1.103479,0.253679,0.750000,1.250000
2,1,-0.831442,0.000000,-1.000410,0.000000,0.750000,1.250000
0,0,-7.988447,-1.281553,1.097029,-0.330261,0.750000,1.300000
1,0,-7.988447,1.281553,1.097029,0.330261,0.750000,1.300000
2,1,-0.880352,0.000000,-0.978196,0.000000,0.750000,1.300000
0,0,-7.932581,-1.296307,1.117309,-0.295081,0.750000,1.350000
1,0,-7.932581,1.296307,1.117309,0.295081,0.750000,1.350000
2,1,-0.930871,0.000000,-1.010376,0.000000,0.750000,1.350000
0,0,-7.875803,-1.309472,1.135558,-0.263298,0.750000,1.400000
1,0,-7.875803,1.309472,1.135558,0.263298,0.750000,1.400000
2,1,-0.982838,0.000000,-1.039339,0.000000,0.750000,1.400000
0,0,-7.818204,-1.321202,1.151980,-0.234585,0.750000,1.450000
1,0,-7.818204,1.321202,1.151980,0.234585,0.750000,1.450000
2,1,-1.036108,0.000000,-1.065405,0.000000,0.750000,1.450000
0,0,-7.761663,-1.337809,1.130829,-0.332151,0.750000,1.500000
1,0,-7.761663,1.337809,1.130829,0.332151,0.750000,1.500000
2,1,-1.086958,0.000000,-1.017005,0.000000,0.750000,1.500000
0,0,-7.704277,-1.352625,1.147719,-0.296317,0.750000,1.550000
1,0,-7.704277,1.352625,1.147719,0.296317,0.750000,1.550000
2,1,-1.139223,0.000000,-1.045304,0.000000,0.750000,1.550000
0,0,-7.646131,-1.365822,1.162918,-0.263942,0.750000,1.600000
1,0,-7.646131,1.365822,1.162918,0.263942,0.750000,1.600000
2,1,-1.192762,0.000000,-1.070774,0.000000,0.750000,1.600000
0,0,-7.587301,-1.377557,1.176595,-0.234691,0.750000,1.650000
1,0,-7.587301,1.377557,1.176595,0.234691,0.750000,1.650000
2,1,-1.247447,0.000000,-1.093696,0.000000,0.750000,1.650000
0,0,-7.529071,-1.394843,1.164597,-0.345737,0.750000,1.700000
1,0,-7.529071,1.394843,1.164597,0.345737,0.750000,1.700000
2,1,-1.300733,0.000000,-1.065718,0.000000,0.750000,1.700000
0,0,-7.470166,-1.410246,1.178101,-0.308059,0.750000,1.750000
1,0,-7.470166,1.410246,1.178101,0.308059,0.750000,1.750000
2,1,-1.355190,0.000000,-1.089146,0.000000,0.750000,1.750000
0,0,-7.410654,-1.423947,1.190250,-0.274016,0.750000,1.800000
1,0,-7.410654,1.423947,1.190250,0.274016,0.750000,1.800000
2,1,-1.410701,0.000000,-1.110231,0.000000,0.750000,1.800000
0,0,-7.350595,-1.436110,1.201182,-0.243257,0.750000,1.850000
1,0,-7.350595,1.436110,1.201182,0.243257,0.750000,1.850000
2,1,-1.467162,0.000000,-1.129208,0.000000,0.750000,1.850000
0,0,-7.290044,-1.446883,1.211017,-0.215465,0.750000,1.900000
1,0,-7.290044,1.446883,1.211017,0.215465,0.750000,1.900000
2,1,-1.524476,0.000000,-1.146287,0.000000,0.750000,1.900000
0,0,-7.230126,-1.464530,1.198363,-0.352942,0.750000,1.950000
1,0,-7.230126,1.464530,1.198363,0.352942,0.750000,1.950000
2,1,-1.580409,0.000000,-1.118651,0.000000,0.750000,1.950000
0,0,-7.169702,-1.480227,1.208473,-0.313928,0.750000,2.000000
1,0,-7.169702,1.480227,1.208473,0.313928,0.750000,2.000000
2,1,-1.637248,0.000000,-1.136786,0.000000,0.750000,2.000000
0,0,-7.108824,-1.494161,1.217569,-0.278676,0.750000,2.050000
1,0,-7.108824,1.494161,1.217569,0.278676,0.750000,2.050000
2,1,-1.694903,0.000000,-1.153107,0.000000,0.750000,2.050000
0,0,-7.047536,-1.506502,1.225751,-0.246823,0.750000,2.100000
1,0,-7.047536,1.506502,1.225751,0.246823,0.750000,2.100000
2,1,-1.753293,0.000000,-1.167796,0.000000,0.750000,2.100000
0,0,-6.985880,-1.517404,1.233111,-0.218039,0.750000,2.150000
1,0,-6.985880,1.517404,1.233111,0.218039,0.750000,2.150000
2,1,-1.812344,0.000000,-1.181017,0.000000,0.750000,2.150000
0,0,-6.923894,-1.527005,1.239732,-0.192030,0.750000,2.200000
1,0,-6.923894,1.527005,1.239732,0.192030,0.750000,2.200000
2,1,-1.871990,0.000000,-1.192915,0.000000,0.750000,2.200000
0,0,-6.861610,-1.535431,1.245688,-0.168527,0.750000,2.250000
1,0,-6.861610,1.535431,1.245688,0.168527,0.750000,2.250000
2,1,-1.932171,0.000000,-1.203624,0.000000,0.750000,2.250000
0,0,-6.800769,-1.553384,1.216817,-0.359057,0.750000,2.300000
1,0,-6.800769,1.553384,1.216817,0.359057,0.750000,2.300000
2,1,-1.989411,0.000000,-1.144806,0.000000,0.750000,2.300000
0,0,-6.739516,-1.569314,1.225056,-0.318601,0.750000,2.350000
1,0,-6.739516,1.569314,1.225056,0.318601,0.750000,2.350000
2,1,-2.047428,0.000000,-1.160325,0.000000,0.750000,2.350000
0,0,-6.677893,-1.583416,1.232465,-0.282042,0.750000,2.400000
1,0,-6.677893,1.583416,1.232465,0.282042,0.750000,2.400000
2,1,-2.106142,0.000000,-1.174293,0.000000,0.750000,2.400000
0,0,-6.615936,-1.595867,1.239129,-0.249003,0.750000,2.450000
1,0,-6.615936,1.595867,1.239129,0.249003,0.750000,2.450000
2,1,-2.165485,0.000000,-1.186863,0.000000,0.750000,2.450000
0,0,-6.553680,-1.606824,1.245121,-0.219146,0.750000,2.500000
1,0,-6.553680,1.606824,1.245121,0.219146,0.750000,2.500000
2,1,-2.225394,0.000000,-1.198177,0.000000,0.750000,2.500000
0,0,-6.491155,-1.616432,1.250510,-0.192163,0.750000,2.550000
1,0,-6.491155,1.616432,1.250510,0.192163,0.750000,2.550000
2,1,-2.285812,0.000000,-1.208359,0.000000,0.750000,2.550000
0,0,-6.428387,-1.624821,1.255357,-0.167778,0.750000,2.600000
1,0,-6.428387,1.624821,1.255357,0.167778,0.750000,2.600000
2,1,-2.346688,0.000000,-1.217523,0.000000,0.750000,2.600000
0,0,-6.365401,-1.632108,1.259714,-0.145740,0.750000,2.650000
1,0,-6.365401,1.632108,1.259714,0.145740,0.750000,2.650000
2,1,-2.407977,0.000000,-1.225771,0.000000,0.750000,2.650000
0,0,-6.302219,-1.638399,1.263633,-0.125822,0.750000,2.700000
1,0,-6.302219,1.638399,1.263633,0.125822,0.750000,2.700000
2,1,-2.469637,0.000000,-1.233194,0.000000,0.750000,2.700000
0,0,-6.238862,-1.643790,1.267157,-0.107821,0.750000,2.750000
1,0,-6.238862,1.643790,1.267157,0.107821,0.750000,2.750000
2,1,-2.531630,0.000000,-1.239875,0.000000,0.750000,2.750000
0,0,-6.175345,-1.648368,1.270325,-0.091552,0.750000,2.800000
1,0,-6.175345,1.648368,1.270325,0.091552,0.750000,2.800000
2,1,-2.593925,0.000000,-1.245887,0.000000,0.750000,2.800000
0,0,-6.112456,-1.667699,1.257787,-0.386622,0.750000,2.850000
1,0,-6.112456,1.667699,1.257787,0.386622,0.750000,2.850000
2,1,-2.654951,0.000000,-1.220523,0.000000,0.750000,2.850000
0,0,-6.049362,-1.684810,1.261881,-0.342221,0.750000,2.900000
1,0,-6.049362,1.684810,1.261881,0.342221,0.750000,2.900000
2,1,-2.716374,0.000000,-1.228471,0.000000,0.750000,2.900000
0,0,-5.986084,-1.699914,1.265559,-0.302090,0.750000,2.950000
1,0,-5.986084,1.699914,1.265559,0.302090,0.750000,2.950000
2,1,-2.778156,0.000000,-1.235624,0.000000,0.750000,2.950000
0,0,-5.922641,-1.713205,1.268861,-0.265816,0.750000,3.000000
1,0,-5.922641,1.713205,1.268861,0.265816,0.750000,3.000000
2,1,-2.840259,0.000000,-1.242062,0.000000,0.750000,3.000000
0,0,-5.859050,-1.724857,1.271827,-0.233028,0.750000,3.050000
1,0,-5.859050,1.724857,1.271827,0.233028,0.750000,3.050000
2,1,-2.902651,0.000000,-1.247855,0.000000,0.750000,3.050000
0,0,-5.795325,-1.735026,1.274490,-0.203391,0.750000,3.100000
1,0,-5.795325,1.735026,1.274490,0.203391,0.750000,3.100000
2,1,-2.965305,0.000000,-1.253070,0.000000,0.750000,3.100000
0,0,-5.731481,-1.743856,1.276881,-0.176602,0.750000,3.150000
1,0,-5.731481,1.743856,1.276881,0.176602,0.750000,3.150000
2,1,-3.028193,0.000000,-1.257763,0.000000,0.750000,3.150000
0,0,-5.667530,-1.751476,1.279027,-0.152386,0.750000,3.200000
1,0,-5.667530,1.751476,1.279027,0.152386,0.750000,3.200000
2,1,-3.091292,0.000000,-1.261987,0.000000,0.750000,3.200000
0,0,-5.603482,-1.758000,1.280954,-0.130495,0.750000,3.250000
1,0,-5.603482,1.758000,1.280954,0.130495,0.750000,3.250000
2,1,-3.154582,0.000000,-1.265788,0.000000,0.750000,3.250000
0,0,-5.539348,-1.763536,1.282684,-0.110707,0.750000,3.300000
1,0,-5.539348,1.763536,1.282684,0.110707,0.750000,3.300000
2,1,-3.218042,0.000000,-1.269209,0.000000,0.750000,3.300000
0,0,-5.475136,-1.768177,1.284237,-0.092819,0.750000,3.350000
1,0,-5.475136,1.768177,1.284237,0.092819,0.750000,3.350000
2,1,-3.281657,0.000000,-1.272288,0.000000,0.750000,3.350000
0,0,-5.410854,-1.772009,1.285630,-0.076648,0.750000,3.400000
1,0,-5.410854,1.772009,1.285630,0.076648,0.750000,3.400000
2,1,-3.345410,0.000000,-1.275059,0.000000,0.750000,3.400000
0,0,-5.346510,-1.775111,1.286881,-0.062029,0.750000,3.450000
1,0,-5.346510,1.775111,1.286881,0.062029,0.750000,3.450000
2,1,-3.409287,0.000000,-1.277553,0.000000,0.750000,3.450000
0,0,-5.282110,-1.777551,1.288004,-0.048812,0.750000,3.500000
1,0,-5.282110,1.777551,1.288004,0.048812,0.750000,3.500000
2,1,-3.473277,0.000000,-1.279798,0.000000,0.750000,3.500000
0,0,-5.217660,-1.779394,1.289011,-0.036864,0.750000,3.550000
1,0,-5.217660,1.779394,1.289011,0.036864,0.750000,3.550000
2,1,-3.537368,0.000000,-1.281818,0.000000,0.750000,3.550000
0,0,-5.153164,-1.780697,1.289915,-0.026062,0.750000,3.600000
1,0,-5.153164,1.780697,1.289915,0.026062,0.750000,3.600000
2,1,-3.601550,0.000000,-1.283636,0.000000,0.750000,3.600000
0,0,-5.088627,-1.781512,1.290726,-0.016296,0.750000,3.650000
1,0,-5.088627,1.781512,1.290726,0.016296,0.750000,3.650000
2,1,-3.665814,0.000000,-1.285273,0.000000,0.750000,3.650000
0,0,-5.024055,-1.781886,1.291454,-0.007466,0.750000,3.700000
1,0,-5.024055,1.781886,1.291454,0.007466,0.750000,3.700000
2,1,-3.730151,0.000000,-1.286746,0.000000,0.750000,3.700000
0,0,-4.959449,-1.781860,1.292107,0.000517,0.750000,3.750000
1,0,-4.959449,1.781860,1.292107,-0.000517,0.750000,3.750000
2,1,-3.794554,0.000000,-1.288071,0.000000,0.750000,3.750000
0,0,-4.894815,-1.781473,1.292693,0.007735,0.750000,3.800000
1,0,-4.894815,1.781473,1.292693,-0.007735,0.750000,3.800000
2,1,-3.859018,0.000000,-1.289264,0.000000,0.750000,3.800000
0,0,-4.830154,-1.780871,1.293219,0.012038,0.750000,3.850000
1,0,-4.830154,1.780871,1.293219,-0.012038,0.750000,3.850000
2,1,-3.923535,0.000000,-1.290337,0.000000,0.750000,3.850000
0,0,-4.765469,-1.780180,1.293690,0.013821,0.750000,3.900000
1,0,-4.765469,1.780180,1.293690,-0.013821,0.750000,3.900000
2,1,-3.988100,0.000000,-1.291304,0.000000,0.750000,3.900000
0,0,-4.700764,-1.779452,1.294113,0.014552,0.750000,3.950000
1,0,-4.700764,1.779452,1.294113,-0.014552,0.750000,3.950000
2,1,-4.052708,0.000000,-1.292173,0.000000,0.750000,3.950000
0,0,-4.636039,-1.778710,1.294492,0.014843,0.750000,4.000000
1,0,-4.636039,1.778710,1.294492,-0.014843,0.750000,4.000000
2,1,-4.117356,0.000000,-1.292956,0.000000,0.750000,4.000000
0,0,-4.571298,-1.777963,1.294831,0.014952,0.750000,4.050000
1,0,-4.571298,1.777963,1.294831,-0.014952,0.750000,4.050000
2,1,-4.182039,0.000000,-1.293660,0.000000,0.750000,4.050000
0,0,-4.506541,-1.777213,1.295135,0.014984,0.750000,4.100000
1,0,-4.506541,1.777213,1.295135,-0.014984,0.750000,4.100000
2,1,-4.246754,0.000000,-1.294294,0.000000,0.750000,4.100000
0,0,-4.441770,-1.776464,1.295407,0.014985,0.750000,4.150000
1,0,-4.441770,1.776464,1.295407,-0.014985,0.750000,4.150000
2,1,-4.311497,0.000000,-1.294865,0.000000,0.750000,4.150000
0,0,-4.376988,-1.775716,1.295650,0.014973,0.750000,4.200000
1,0,-4.376988,1.775716,1.295650,-0.014973,0.750000,4.200000
2,1,-4.376266,0.000000,-1.295378,0.000000,0.750000,4.200000
0,0,-4.312195,-1.774968,1.295867,0.014956,0.750000,4.250000
1,0,-4.312195,1.774968,1.295867,-0.014956,0.750000,4.250000
2,1,-4.441058,0.000000,-1.295841,0.000000,0.750000,4.250000
0,0,-4.247392,-1.774221,1.296060,0.014938,0.750000,4.300000
1,0,-4.247392,1.774221,1.296060,-0.014938,0.750000,4.300000
2,1,-4.505871,0.000000,-1.296257,0.000000,0.750000,4.300000
0,0,-4.182580,-1.773475,1.296233,0.014919,0.750000,4.350000
1,0,-4.182580,1.773475,1.296233,-0.014919,0.750000,4.350000
2,1,-4.570703,0.000000,-1.296631,0.000000,0.750000,4.350000
0,0,-4.117761,-1.772730,1.296386,0.014900,0.750000,4.400000
1,0,-4.117761,1.772730,1.296386,-0.014900,0.750000,4.400000
2,1,-4.635551,0.000000,-1.296968,0.000000,0.750000,4.400000
0,0,-4.052935,-1.771986,1.296523,0.014881,0.750000,4.450000
1,0,-4.052935,1.771986,1.296523,-0.014881,0.750000,4.450000
2,1,-4.700414,0.000000,-1.297271,0.000000,0.750000,4.450000
0,0,-3.988102,-1.771243,1.296644,0.014863,0.750000,4.500000
1,0,-3.988102,1.771243,1.296644,-0.014863,0.750000,4.500000
2,1,-4.765292,0.000000,-1.297544,0.000000,0.750000,4.500000
0,0,-3.923265,-1.770500,1.296751,0.014846,0.750000,4.550000
1,0,-3.923265,1.770500,1.296751,-0.014846,0.750000,4.550000
2,1,-4.830181,0.000000,-1.297790,0.000000,0.750000,4.550000
0,0,-3.858423,-1.769759,1.296845,0.014829,0.750000,4.600000
1,0,-3.858423,1.769759,1.296845,-0.014829,0.750000,4.600000
2,1,-4.895082,0.000000,-1.298011,0.000000,0.750000,4.600000
0,0,-3.793576,-1.769018,1.296928,0.014812,0.750000,4.650000
1,0,-3.793576,1.769018,1.296928,-0.014812,0.750000,4.650000
2,1,-4.959992,0.000000,-1.298210,0.000000,0.750000,4.650000
0,0,-3.728726,-1.768278,1.297001,0.014797,0.750000,4.700000
1,0,-3.728726,1.768278,1.297001,-0.014797,0.750000,4.700000
2,1,-5.024912,0.000000,-1.298389,0.000000,0.750000,4.700000
0,0,-3.663873,-1.767539,1.297065,0.014781,0.750000,4.750000
1,0,-3.663873,1.767539,1.297065,-0.014781,0.750000,4.750000
2,1,-5.089839,0.000000,-1.298550,0.000000,0.750000,4.750000
0,0,-3.599017,-1.766801,1.297120,0.014766,0.750000,4.800000
1,0,-3.599017,1.766801,1.297120,-0.014766,0.750000,4.800000
2,1,-5.154774,0.000000,-1.298695,0.000000,0.750000,4.800000
0,0,-3.534158,-1.766063,1.297168,0.014752,0.750000,4.850000
1,0,-3.534158,1.766063,1.297168,-0.014752,0.750000,4.850000
2,1,-5.219715,0.000000,-1.298825,0.000000,0.750000,4.850000
0,0,-3.469298,-1.765327,1.297209,0.014739,0.750000,4.900000
1,0,-3.469298,1.765327,1.297209,-0.014739,0.750000,4.900000
2,1,-5.284662,0.000000,-1.298943,0.000000,0.750000,4.900000
0,0,-3.404436,-1.764590,1.297244,0.014725,0.750000,4.950000
1,0,-3.404436,1.764590,1.297244,-0.014725,0.750000,4.950000
2,1,-5.349615,0.000000,-1.299048,0.000000,0.750000,4.950000
0,0,-3.339572,-1.763855,1.297274,0.014713,0.750000,5.000000
1,0,-3.339572,1.763855,1.297274,-0.014713,0.750000,5.000000
2,1,-5.414572,0.000000,-1.299144,0.000000,0.750000,5.000000
0,0,-3.274707,-1.763120,1.297298,0.014701,0.750000,5.050000
1,0,-3.274707,1.763120,1.297298,-0.014701,0.750000,5.050000
2,1,-5.479533,0.000000,-1.299229,0.000000,0.750000,5.050000
0,0,-3.209841,-1.762385,1.297318,0.014690,0.750000,5.100000
1,0,-3.209841,1.762385,1.297318,-0.014690,0.750000,5.100000
2,1,-5.544499,0.000000,-1.299306,0.000000,0.750000,5.100000
0,0,-3.144975,-1.761651,1.297333,0.014679,0.750000,5.150000
1,0,-3.144975,1.761651,1.297333,-0.014679,0.750000,5.150000
2,1,-5.609467,0.000000,-1.299376,0.000000,0.750000,5.150000
0,0,-3.080107,-1.760918,1.297345,0.014669,0.750000,5.200000
1,0,-3.080107,1.760918,1.297345,-0.014669,0.750000,5.200000
2,1,-5.674439,0.000000,-1.299438,0.000000,0.750000,5.200000
0,0,-3.015240,-1.760185,1.297353,0.014659,0.750000,5.250000
1,0,-3.015240,1.760185,1.297353,-0.014659,0.750000,5.250000
2,1,-5.739414,0.000000,-1.299494,0.000000,0.750000,5.250000
0,0,-2.950372,-1.759452,1.297359,0.014650,0.750000,5.300000
1,0,-2.950372,1.759452,1.297359,-0.014650,0.750000,5.300000
2,1,-5.804391,0.000000,-1.299545,0.000000,0.750000,5.300000
0,0,-2.885504,-1.758720,1.297361,0.014642,0.750000,5.350000
1,0,-2.885504,1.758720,1.297361,-0.014642,0.750000,5.350000
2,1,-5.869371,0.000000,-1.299590,0.000000,0.750000,5.350000
0,0,-2.820636,-1.757988,1.297361,0.014634,0.750000,5.400000
1,0,-2.820636,1.757988,1.297361,-0.014634,0.750000,5.400000
2,1,-5.934352,0.000000,-1.299631,0.000000,0.750000,5.400000
0,0,-2.755768,-1.757257,1.297358,0.014627,0.750000,5.450000
1,0,-2.755768,1.757257,1.297358,-0.014627,0.750000,5.450000
2,1,-5.999336,0.000000,-1.299668,0.000000,0.750000,5.450000
0,0,-2.690900,-1.756526,1.297354,0.014620,0.750000,5.500000
1,0,-2.690900,1.756526,1.297354,-0.014620,0.750000,5.500000
2,1,-6.064321,0.000000,-1.299701,0.000000,0.750000,5.500000
0,0,-2.626033,-1.755795,1.297347,0.014615,0.750000,5.550000
1,0,-2.626033,1.755795,1.297347,-0.014615,0.750000,5.550000
2,1,-6.129307,0.000000,-1.299731,0.000000,0.750000,5.550000
0,0,-2.561166,-1.755065,1.297338,0.014609,0.750000,5.600000
1,0,-2.561166,1.755065,1.297338,-0.014609,0.750000,5.600000
2,1,-6.194295,0.000000,-1.299758,0.000000,0.750000,5.600000
0,0,-2.496299,-1.754335,1.297328,0.014605,0.750000,5.650000
1,0,-2.496299,1.754335,1.297328,-0.014605,0.750000,5.650000
2,1,-6.259284,0.000000,-1.299782,0.000000,0.750000,5.650000
0,0,-2.431434,-1.753605,1.297316,0.014601,0.750000,5.700000
1,0,-2.431434,1.753605,1.297316,-0.014601,0.750000,5.700000
2,1,-6.324275,0.000000,-1.299804,0.000000,0.750000,5.700000
0,0,-2.366568,-1.752875,1.297303,0.014598,0.750000,5.750000
1,0,-2.366568,1.752875,1.297303,-0.014598,0.750000,5.750000
2,1,-6.389266,0.000000,-1.299824,0.000000,0.750000,5.750000
0,0,-2.301704,-1.752145,1.297289,0.014595,0.750000,5.800000
1,0,-2.301704,1.752145,1.297289,-0.014595,0.750000,5.800000
2,1,-6.454258,0.000000,-1.299841,0.000000,0.750000,5.800000
0,0,-2.236840,-1.751415,1.297273,0.014593,0.750000,5.850000
1,0,-2.236840,1.751415,1.297273,-0.014593,0.750000,5.850000
2,1,-6.519251,0.000000,-1.299857,0.000000,0.750000,5.850000
0,0,-2.171978,-1.750686,1.297256,0.014592,0.750000,5.900000
1,0,-2.171978,1.750686,1.297256,-0.014592,0.750000,5.900000
2,1,-6.584244,0.000000,-1.299871,0.000000,0.750000,5.900000
0,0,-2.107116,-1.749956,1.297238,0.014592,0.750000,5.950000
1,0,-2.107116,1.749956,1.297238,-0.014592,0.750000,5.950000
